"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","103.20.94.5","192.168.1.7","TCP","66","443  >  50521 [ACK] Seq=1 Ack=1 Win=16 Len=0 TSval=1672151813 TSecr=99174734"
"2","4.505387","103.20.94.5","192.168.1.7","TLSv1.2","560","Application Data"
"3","4.505394","103.20.94.5","192.168.1.7","TLSv1.2","116","Application Data"
"4","4.505500","192.168.1.7","103.20.94.5","TCP","66","50521  >  443 [ACK] Seq=1 Ack=495 Win=4080 Len=0 TSval=99179586 TSecr=1672156326"
"5","4.505501","192.168.1.7","103.20.94.5","TCP","66","50521  >  443 [ACK] Seq=1 Ack=545 Win=4079 Len=0 TSval=99179586 TSecr=1672156326"
"6","4.534684","192.168.1.7","103.20.94.5","TLSv1.2","831","Application Data"
"7","4.534779","192.168.1.7","103.20.94.5","TLSv1.2","820","Application Data"
"8","4.914934","103.20.94.5","192.168.1.7","TCP","66","443  >  50521 [ACK] Seq=545 Ack=1520 Win=16 Len=0 TSval=1672156712 TSecr=99179615"
"9","5.103467","192.168.0.1","224.0.0.1","IGMPv2","46","Membership Query, general"
"10","9.625734","192.168.1.13","192.168.1.7","UDP","1090","50093  >  53255 Len=1048"
"11","10.677049","192.168.1.7","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"12","10.691063","192.168.1.7","224.0.0.251","IGMPv2","46","Membership Report group 224.0.0.251"
"13","25.703502","103.20.94.5","192.168.1.7","TLSv1.2","425","Application Data"
"14","25.703604","192.168.1.7","103.20.94.5","TCP","66","50521  >  443 [ACK] Seq=1520 Ack=904 Win=4084 Len=0 TSval=99200779 TSecr=1672177540"
"15","25.711981","192.168.1.7","103.20.94.5","TCP","66","50521  >  443 [FIN, ACK] Seq=1520 Ack=904 Win=4096 Len=0 TSval=99200787 TSecr=1672177540"
"16","25.712083","192.168.1.7","216.58.196.74","TCP","66","50519  >  443 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=99200787 TSecr=1034788147"
"17","25.712084","192.168.1.7","31.13.75.8","TCP","66","50520  >  443 [FIN, ACK] Seq=1 Ack=1 Win=4096 Len=0 TSval=99200787 TSecr=2314609070"
"18","25.723233","216.58.196.74","192.168.1.7","TCP","66","443  >  50519 [FIN, ACK] Seq=1 Ack=2 Win=205 Len=0 TSval=1034822075 TSecr=99200787"
"19","25.723343","192.168.1.7","216.58.196.74","TCP","66","50519  >  443 [ACK] Seq=2 Ack=2 Win=4096 Len=0 TSval=99200798 TSecr=1034822075"
"20","25.847482","31.13.75.8","192.168.1.7","TLSv1.2","111","Application Data"
"21","25.847487","31.13.75.8","192.168.1.7","TLSv1.2","97","Encrypted Alert"
"22","25.847488","31.13.75.8","192.168.1.7","TCP","66","443  >  50520 [FIN, ACK] Seq=77 Ack=2 Win=158 Len=0 TSval=2314642721 TSecr=99200787"
"23","25.847573","192.168.1.7","31.13.75.8","TCP","54","50520  >  443 [RST] Seq=2 Win=0 Len=0"
"24","25.847573","192.168.1.7","31.13.75.8","TCP","54","50520  >  443 [RST] Seq=2 Win=0 Len=0"
"25","25.847574","192.168.1.7","31.13.75.8","TCP","54","50520  >  443 [RST] Seq=2 Win=0 Len=0"
"26","25.968420","103.20.94.5","192.168.1.7","TCP","66","443  >  50521 [FIN, ACK] Seq=904 Ack=1521 Win=16 Len=0 TSval=1672177875 TSecr=99200787"
"27","25.968530","192.168.1.7","103.20.94.5","TCP","66","50521  >  443 [ACK] Seq=1521 Ack=905 Win=4096 Len=0 TSval=99201041 TSecr=1672177875"
